vehicle_id,type,lat,lng,base_risk,traffic_factor,anomaly_score,driver_fatigue,speed,fuel_level,route_name,convoy_id,convoy_size,convoy_rank,convoy_spacing_nm,sea_condition,sea_congestion,route_progress
V-00001,vehicle,25.143242,55.289287,0.1939,0.2746,0.0414,0.2906,74.16,81.29,,,0,0,0.0,,0.0,0.0
V-00002,vehicle,15.056995,76.552496,0.7758,0.8972,0.8366,0.7688,37.58,84.26,,,0,0,0.0,,0.0,0.0
V-00003,vehicle,25.199957,55.251969,0.7581,0.5328,0.3065,0.5138,58.55,90.18,,,0,0,0.0,,0.0,0.0
V-00004,vehicle,25.131434,55.42327,0.9694,0.7889,0.3775,0.5922,33.06,21.2,,,0,0,0.0,,0.0,0.0
V-00005,vehicle,13.310006,77.463711,0.3888,0.678,0.3391,0.7017,58.72,39.64,,,0,0,0.0,,0.0,0.0
V-00006,vehicle,13.03703,77.959633,0.4565,0.7457,0.3223,0.8129,42.43,21.64,,,0,0,0.0,,0.0,0.0
V-00007,vehicle,25.07123,55.281504,0.9458,0.7523,0.4268,0.499,50.94,81.27,,,0,0,0.0,,0.0,0.0
V-00008,vehicle,12.772792,74.434892,0.1355,0.43,0.199,0.83,58.44,47.52,,,0,0,0.0,,0.0,0.0
V-00009,vehicle,25.183343,55.28945,0.9824,0.8187,0.4446,0.5547,37.46,53.71,,,0,0,0.0,,0.0,0.0
V-00010,ship,15.402008,68.854197,0.3659,0.3682,0.1193,0.1329,24.6,56.58,Karnataka-MidSea-Dubai,CONVOY-174,4,3,3.26,moderate,0.0,0.2058
V-00011,vehicle,25.142156,55.347053,0.0816,0.1274,0.054,0.3814,69.64,70.49,,,0,0,0.0,,0.0,0.0
V-00012,ship,17.267247,65.880034,0.9808,0.5299,0.5533,0.202,20.04,65.95,Karnataka-Oman-Dubai,CONVOY-070,4,2,1.35,calm,0.0,0.4095
V-00013,vehicle,15.114533,74.572892,0.1105,0.4683,0.1764,0.6075,59.61,84.92,,,0,0,0.0,,0.0,0.0
V-00014,vehicle,25.112079,55.384305,0.2834,0.2729,0.0292,0.3372,74.05,83.78,,,0,0,0.0,,0.0,0.0
V-00015,vehicle,15.454191,74.78298,0.2974,0.4022,0.0862,0.5511,62.35,32.46,,,0,0,0.0,,0.0,0.0
V-00016,vehicle,25.242113,55.250101,0.8132,0.6049,0.1365,0.4943,50.91,47.32,,,0,0,0.0,,0.0,0.0
V-00017,vehicle,25.05,55.129614,0.4654,0.2914,0.1544,0.3928,51.17,52.25,,,0,0,0.0,,0.0,0.0
V-00018,vehicle,15.85216,74.839769,0.2616,0.3767,0.1675,0.5315,60.87,20.75,,,0,0,0.0,,0.0,0.0
V-00019,vehicle,15.750072,74.840099,0.3461,0.485,0.3122,0.5878,51.0,61.17,,,0,0,0.0,,0.0,0.0
V-00020,vehicle,13.542662,76.319725,0.7842,0.8412,0.9209,0.9003,33.91,23.55,,,0,0,0.0,,0.0,0.0
V-00021,ship,18.569189,64.016767,0.4127,0.3241,0.234,0.135,14.08,49.37,Karnataka-Oman-Dubai,CONVOY-205,5,1,1.21,calm,0.0,0.5147
V-00022,vehicle,12.828749,77.606345,0.1424,0.4701,0.1455,0.7344,49.9,52.4,,,0,0,0.0,,0.0,0.0
V-00023,vehicle,15.243106,75.198833,0.2947,0.366,0.0979,0.6745,53.75,87.9,,,0,0,0.0,,0.0,0.0
V-00024,vehicle,25.285397,55.335213,0.3348,0.4978,0.1531,0.5112,49.55,31.53,,,0,0,0.0,,0.0,0.0
V-00025,vehicle,13.813711,75.675843,0.6337,0.7379,0.4398,0.7629,45.76,54.27,,,0,0,0.0,,0.0,0.0
