warehouse_id,region,lat,lng,sku_id,product_name,category,stock_units,unit_type,daily_demand,incoming_supply,lead_time_days,supplier_region,linked_ship_id,consumption_rate,anomaly_score
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000001,Diesel (B7),Fuel,11645,liters,1522.21,1485.83,1.52,karnataka,,1684.01,0.1503
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000002,Diesel (B7),Fuel,10258,liters,1198.64,1182.77,1.18,karnataka,,1300.9,0.1315
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000003,Wheat (bulk tons),Food Supply,14684,kg,931.84,987.75,2.14,karnataka,,982.08,0.1101
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000004,Antibiotics (Amoxicillin),Medical,1681,units,97.94,102.82,1.67,karnataka,,93.21,0.1351
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000005,Packaged Meals (MRE kits),Food Supply,13456,units,845.68,896.42,1.38,karnataka,,889.34,0.0928
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000006,Marine Fuel (IFO 380),Fuel,22990,liters,1343.86,1424.49,1.31,karnataka,,1426.2,0.075
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000007,First Aid Kits,Medical,855,units,112.6,112.22,2.59,karnataka,,111.23,0.2132
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000008,Rice (50kg bags),Food Supply,8360,kg,1092.02,1056.05,1.61,karnataka,,1093.41,0.1559
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000009,Antibiotics (Amoxicillin),Medical,1814,units,123.86,131.26,2.37,karnataka,,130.08,0.128
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000010,Diesel (B7),Fuel,27609,liters,1478.48,1543.03,1.14,karnataka,,1576.82,0.0572
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000011,Antibiotics (Amoxicillin),Medical,1882,units,114.23,121.08,2.3,karnataka,,115.62,0.145
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000012,Antibiotics (Amoxicillin),Medical,2128,units,126.29,133.03,2.58,karnataka,,121.96,0.1868
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000013,Wheat (bulk tons),Food Supply,16076,kg,851.55,867.97,2.09,karnataka,,909.62,0.1137
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000014,Petrol (ULP 91),Fuel,19631,liters,1166.2,1193.4,1.81,karnataka,,1211.84,0.1021
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000015,Diesel (B7),Fuel,22882,liters,1414.08,1498.92,2.12,karnataka,,1388.49,0.0835
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000016,Diesel (B7),Fuel,26533,liters,1588.12,1683.41,1.68,karnataka,,1778.69,0.1321
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000017,Diesel (B7),Fuel,2250,liters,1387.39,1164.32,1.74,karnataka,,1401.32,0.3132
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000018,Marine Fuel (IFO 380),Fuel,25690,liters,1573.62,1668.04,1.84,karnataka,,1676.29,0.0724
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000019,Packaged Meals (MRE kits),Food Supply,20861,units,1040.35,1102.77,1.52,karnataka,,1025.77,0.0786
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000020,Wheat (bulk tons),Food Supply,3916,kg,1021.41,967.99,1.7,karnataka,,1057.86,0.2592
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000021,Wheat (bulk tons),Food Supply,952,kg,775.72,633.53,1.98,karnataka,,834.01,0.2792
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000022,Rice (50kg bags),Food Supply,12937,kg,741.9,786.41,1.13,karnataka,,764.68,0.0483
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000023,Packaged Meals (MRE kits),Food Supply,3151,units,966.96,927.49,2.0,karnataka,,984.57,0.2261
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000024,Petrol (ULP 91),Fuel,22102,liters,1381.81,1464.72,1.48,karnataka,,1518.12,0.0489
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000025,Packaged Meals (MRE kits),Food Supply,7138,units,824.39,778.73,1.59,karnataka,,920.32,0.177
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000026,Rice (50kg bags),Food Supply,15934,kg,881.85,934.76,1.32,karnataka,,942.58,0.0515
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000027,First Aid Kits,Medical,694,units,116.79,123.8,2.64,karnataka,,110.28,0.2316
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000028,First Aid Kits,Medical,1499,units,92.4,95.01,2.17,karnataka,,85.5,0.1778
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000029,Antibiotics (Amoxicillin),Medical,1657,units,119.72,126.9,2.4,karnataka,,119.89,0.1041
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000030,First Aid Kits,Medical,2160,units,128.64,136.36,3.0,karnataka,,123.09,0.107
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000031,Wheat (bulk tons),Food Supply,16071,kg,1076.62,1141.22,1.66,karnataka,,1056.81,0.1016
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000032,Wheat (bulk tons),Food Supply,2486,kg,724.06,706.64,1.58,karnataka,,720.74,0.2207
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000033,Packaged Meals (MRE kits),Food Supply,6334,units,972.73,1024.56,1.33,karnataka,,1035.23,0.1379
KA-KLR-001,karnataka,13.302611,74.686687,SKU-000034,Petrol (ULP 91),Fuel,24401,liters,1369.21,1451.36,2.04,karnataka,,1486.6,0.1028
